IATI Element,Field required?,Comments
`Policy Marker <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/policy-marker/>`_,Recommended,
`Documents <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/document-link/>`_,Optional,"Documents relating to the activity including project proposal, Theory of Change, reports, pictures, project updates etc."
`Tag <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/tag/>`_,Optional,
`Humanitarian Scope <https://iatistandard.org/en/guidance/standard-guidance/humanitarian/>`_,Optional,
`Activity Scope <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/activity-scope/>`_,Optional,"The geographical scope of the activity: regional, national, subnational, etc."
`Collaboration Type <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/collaboration-type/>`_,Optional,
`Default Flow Type <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/default-flow-type/>`_,Optional,
`Default Finance Type <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/default-finance-type/>`_,Optional,
`Default Aid Type <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/default-aid-type/>`_,Optional,
`Default Tied Status <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/default-tied-status/>`_,Optional,
`Other Activity Identifier(s) <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/other-identifier/>`_,Optional,An internal reference number for the activity (if applicable).
`Related Activities <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/related-activity/>`_,Optional,Another separately reported IATI activity that is related to this one.
`Legacy Data <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/legacy-data/>`_,Optional,"The legacy data element allows for the reporting of values held in a field in the reporting organisation’s system which is similar, but not identical to an IATI element."
`Conditions <https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/conditions/>`_,Optional,Information on the conditions for the project.
